A_UP,B_LOW,dt_AB
19,19,1
19,20,1
19,21,1
19,22,1
19,23,1
19,24,1
19,25,1
19,26,1
19,27,1
19,28,1
19,29,1
19,30,1
19,31,1
20,19,2
20,20,1
20,20,2
20,21,1
20,21,2
20,22,1
20,22,2
20,23,1
20,23,2
20,24,1
20,24,2
20,25,1
20,25,2
20,26,1
20,26,2
20,27,1
20,27,2
20,28,1
20,28,2
20,29,1
20,29,2
20,30,1
20,30,2
20,31,1
21,19,3
21,20,2
21,20,3
21,21,1
21,21,2
21,21,3
21,22,1
21,22,2
21,22,3
21,23,1
21,23,2
21,23,3
21,24,1
21,24,2
21,24,3
21,25,1
21,25,2
21,25,3
21,26,1
21,26,2
21,26,3
21,27,1
21,27,2
21,27,3
21,28,1
21,28,2
21,28,3
21,29,1
21,29,2
21,29,3
21,30,1
21,30,2
21,31,1
22,19,4
22,20,3
22,20,4
22,21,2
22,21,3
22,21,4
22,22,1
22,22,2
22,22,3
22,22,4
22,23,1
22,23,2
22,23,3
22,23,4
22,24,1
22,24,2
22,24,3
22,24,4
22,25,1
22,25,2
22,25,3
22,25,4
22,26,1
22,26,2
22,26,3
22,26,4
22,27,1
22,27,2
22,27,3
22,27,4
22,28,1
22,28,2
22,28,3
22,28,4
22,29,1
22,29,2
22,29,3
22,30,1
22,30,2
22,31,1
23,19,5
23,20,4
23,20,5
23,21,3
23,21,4
23,21,5
23,22,2
23,22,3
23,22,4
23,22,5
23,23,1
23,23,2
23,23,3
23,23,4
23,23,5
23,24,1
23,24,2
23,24,3
23,24,4
23,24,5
23,25,1
23,25,2
23,25,3
23,25,4
23,25,5
23,26,1
23,26,2
23,26,3
23,26,4
23,26,5
23,27,1
23,27,2
23,27,3
23,27,4
23,27,5
23,28,1
23,28,2
23,28,3
23,28,4
23,29,1
23,29,2
23,29,3
23,30,1
23,30,2
23,31,1
24,19,6
24,20,5
24,20,6
24,21,4
24,21,5
24,21,6
24,22,3
24,22,4
24,22,5
24,22,6
24,23,2
24,23,3
24,23,4
24,23,5
24,23,6
24,24,1
24,24,2
24,24,3
24,24,4
24,24,5
24,24,6
24,25,1
24,25,2
24,25,3
24,25,4
24,25,5
24,25,6
24,26,1
24,26,2
24,26,3
24,26,4
24,26,5
24,26,6
24,27,1
24,27,2
24,27,3
24,27,4
24,27,5
24,28,1
24,28,2
24,28,3
24,28,4
24,29,1
24,29,2
24,29,3
24,30,1
24,30,2
24,31,1
25,19,7
25,20,6
25,20,7
25,21,5
25,21,6
25,21,7
25,22,4
25,22,5
25,22,6
25,22,7
25,23,3
25,23,4
25,23,5
25,23,6
25,23,7
25,24,2
25,24,3
25,24,4
25,24,5
25,24,6
25,24,7
25,25,1
25,25,2
25,25,3
25,25,4
25,25,5
25,25,6
25,25,7
25,26,1
25,26,2
25,26,3
25,26,4
25,26,5
25,26,6
25,27,1
25,27,2
25,27,3
25,27,4
25,27,5
25,28,1
25,28,2
25,28,3
25,28,4
25,29,1
25,29,2
25,29,3
25,30,1
25,30,2
25,31,1
26,19,8
26,20,7
26,20,8
26,21,6
26,21,7
26,21,8
26,22,5
26,22,6
26,22,7
26,22,8
26,23,4
26,23,5
26,23,6
26,23,7
26,23,8
26,24,3
26,24,4
26,24,5
26,24,6
26,24,7
26,24,8
26,25,2
26,25,3
26,25,4
26,25,5
26,25,6
26,25,7
26,26,1
26,26,2
26,26,3
26,26,4
26,26,5
26,26,6
26,27,1
26,27,2
26,27,3
26,27,4
26,27,5
26,28,1
26,28,2
26,28,3
26,28,4
26,29,1
26,29,2
26,29,3
26,30,1
26,30,2
26,31,1
27,19,9
27,20,8
27,20,9
27,21,7
27,21,8
27,21,9
27,22,6
27,22,7
27,22,8
27,22,9
27,23,5
27,23,6
27,23,7
27,23,8
27,23,9
27,24,4
27,24,5
27,24,6
27,24,7
27,24,8
27,25,3
27,25,4
27,25,5
27,25,6
27,25,7
27,26,2
27,26,3
27,26,4
27,26,5
27,26,6
27,27,1
27,27,2
27,27,3
27,27,4
27,27,5
27,28,1
27,28,2
27,28,3
27,28,4
27,29,1
27,29,2
27,29,3
27,30,1
27,30,2
27,31,1
28,19,10
28,20,9
28,20,10
28,21,8
28,21,9
28,21,10
28,22,7
28,22,8
28,22,9
28,22,10
28,23,6
28,23,7
28,23,8
28,23,9
28,24,5
28,24,6
28,24,7
28,24,8
28,25,4
28,25,5
28,25,6
28,25,7
28,26,3
28,26,4
28,26,5
28,26,6
28,27,2
28,27,3
28,27,4
28,27,5
28,28,1
28,28,2
28,28,3
28,28,4
28,29,1
28,29,2
28,29,3
28,30,1
28,30,2
28,31,1
29,19,11
29,20,10
29,20,11
29,21,9
29,21,10
29,21,11
29,22,8
29,22,9
29,22,10
29,23,7
29,23,8
29,23,9
29,24,6
29,24,7
29,24,8
29,25,5
29,25,6
29,25,7
29,26,4
29,26,5
29,26,6
29,27,3
29,27,4
29,27,5
29,28,2
29,28,3
29,28,4
29,29,1
29,29,2
29,29,3
29,30,1
29,30,2
29,31,1
30,19,12
30,20,11
30,20,12
30,21,10
30,21,11
30,22,9
30,22,10
30,23,8
30,23,9
30,24,7
30,24,8
30,25,6
30,25,7
30,26,5
30,26,6
30,27,4
30,27,5
30,28,3
30,28,4
30,29,2
30,29,3
30,30,1
30,30,2
30,31,1
31,19,13
31,20,12
31,21,11
31,22,10
31,23,9
31,24,8
31,25,7
31,26,6
31,27,5
31,28,4
31,29,3
31,30,2
31,31,1
solution count:  455
